domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.zeit.de,0.007459528284998216,0.13205939239969822,0.017175125313283225,0.0672424063541311,2660.0
www.n-tv.de,0.07957161434540562,0.21917498283555745,0.03936397690311736,0.10245299281153851,1303.0
www.faz.net,0.015464068155071774,0.22432179734448743,0.052490491977381704,0.10501928119389924,1106.0
www.stern.de,0.04172329329962073,0.2492154317325912,0.07323509270965022,0.151291595921279,904.0
www.focus.de,0.010379857640985231,0.2653261391404319,0.08916041508771486,0.14549533141697882,674.0
www.welt.de,0.03399107290266281,0.21993177190051116,0.06371134932427655,0.10717457949232838,673.0
www.handelsblatt.com,0.050293115201090775,0.21363964291208787,0.05669247249001849,0.11322477314114833,652.0
www.tagesschau.de,0.01639238030945951,0.2251593964517187,0.06626432881383372,0.13604996533989247,606.0
www.morgenpost.de,0.02513990119857467,0.182324354327442,0.07618649443904552,0.12004778113253924,588.0
www.sueddeutsche.de,0.03024253655149883,0.2681125420488689,0.07986053254921181,0.14525110072985947,530.0
www.spiegel.de,0.034509615769061606,0.19252133793795337,0.08984966614689535,0.12120083396988114,397.0
www.wiwo.de,0.019939239471759795,0.20014179914925082,0.06404869445519856,0.10779702964095658,369.0
www.bild.de,0.01617510508814856,0.2363995458834093,0.04761745500875935,0.11094549888292132,299.0
www.tagesspiegel.de,0.038853390015260524,0.20150992067075318,0.06506737467169116,0.11210295171892085,278.0
consent.google.com,-0.07194570135746606,0.4089042283932167,0.0420814479638009,0.14836275296511864,221.0
taz.de,0.013356810437962259,0.23188576084726764,0.055366492146596856,0.12032402318740143,191.0
www.nzz.ch,0.049823823207443864,0.19572383265756588,0.05629789272030649,0.09214303258746007,174.0
www.diepresse.com,0.0028438858346833827,0.2268478381971927,0.04947259625173737,0.12337113824018307,163.0
orf.at,0.056726190476190486,0.24067861610849964,0.04637998056365403,0.10768470993136316,147.0
www.dw.com,0.0397554718501984,0.2039288009540402,0.056807415674603186,0.10525353863689253,128.0
www.telepolis.de,0.010708748615725358,0.18639450256627935,0.06052740863787376,0.13458488031286678,86.0
www.kicker.de,0.10603422619047624,0.22567796915570298,0.045342261904761906,0.11342392802760276,80.0
www.basicthinking.de,0.1183559647817461,0.2094018647179192,0.11958085317460322,0.12865787639358997,64.0
www.jungewelt.de,-0.013164362519201226,0.2203601172070925,0.03884408602150538,0.10852697645455578,62.0
www.heise.de,0.07200865800865801,0.27216257527398763,0.047164502164502166,0.10360474309355956,55.0
www.golem.de,0.07774273893954742,0.09159320616066526,0.021918270854441067,0.04993191361250239,47.0
www.freitag.de,0.0302085877085877,0.27329327834679673,0.07175417175417174,0.10590077528661775,39.0
